dataset,alpha,RR@10,nDCG@10,AP@100
SciFact,1.0,0.6324272486772486,0.6721667420411603,0.626748723422958
ArguAna,0.0,0.20712733410101805,0.3170856045505343,0.22106666537753034
ArguAna,0.01,0.20887974440605975,0.3194587205003862,0.22262950653379254
ArguAna,0.02,0.2097484702747855,0.3207592035747858,0.2235642373506064
ArguAna,0.03,0.21188190069768964,0.32392845755463673,0.2255383919592181
ArguAna,0.04,0.21310539863171402,0.3251287385374173,0.22658015928673395
ArguAna,0.05,0.21475846146898733,0.3274101970677992,0.22796984972200046
ArguAna,0.06,0.21607904897378552,0.32904345387348805,0.22910393155586498
ArguAna,0.07,0.2171540901804057,0.3310343601707473,0.23017327567049525
ArguAna,0.08,0.217662963715595,0.3319814359147968,0.2306455834306278
ArguAna,0.09,0.21898383345751735,0.3337345255602481,0.2318228720458186
ArguAna,0.1,0.22022059653638568,0.33513961412108484,0.23284294124604654
ArguAna,0.11,0.22085450111765856,0.33625187301208304,0.23351572428504053
ArguAna,0.12,0.22217170177696471,0.33832514001105235,0.23435987973813205
ArguAna,0.13,0.22305482173903196,0.3392494799959925,0.23530772208282616
ArguAna,0.14,0.22418151233940675,0.34014926266752477,0.23668513342254116
ArguAna,0.15,0.22604455959719094,0.34266648900710667,0.23806774293982824
ArguAna,0.16,0.22633865068075573,0.34346436727815344,0.2383534329596347
ArguAna,0.17,0.2276377881641038,0.344930305772764,0.239411739914337
ArguAna,0.18,0.22804618528302714,0.34557121969304294,0.23970792865302534
ArguAna,0.19,0.2285513897356001,0.3466310168603117,0.24035524684323567
ArguAna,0.2,0.22856521935469287,0.3466895841853397,0.24038303924915577
ArguAna,0.21,0.22953780848517655,0.3480312330453356,0.2410169931398093
ArguAna,0.22,0.22994902797534342,0.3486496187991167,0.2413315197511584
ArguAna,0.23,0.23012627288943052,0.34899730862155437,0.2414664785849247
ArguAna,0.24,0.2305916819074711,0.34956615291311005,0.2422702120844586
ArguAna,0.25,0.23145560974508309,0.34985983793120234,0.24315418121823698
ArguAna,0.26,0.23128146943936378,0.34996535883757685,0.24279571165791589
ArguAna,0.27,0.2315620131409601,0.35032908733887785,0.24304575411957974
ArguAna,0.28,0.2323263112736793,0.3512011726230504,0.24392033579083489
ArguAna,0.29,0.232827282169387,0.3518687639175886,0.2444856502525355
ArguAna,0.3,0.23351904536115023,0.3525720138591539,0.24516267975973713
ArguAna,0.31,0.23366213958319185,0.352525559635485,0.24511646613019694
ArguAna,0.32,0.23345864661654103,0.35234276370593787,0.24516552138040298
ArguAna,0.33,0.2337050396260919,0.35249490204204625,0.2456146189316071
ArguAna,0.34,0.2338975253448934,0.3522803906387947,0.24586491252636686
ArguAna,0.35,0.2341320643952219,0.35277792329667335,0.24598696923334334
ArguAna,0.36,0.23364633430422865,0.35210014087017605,0.24567999499658727
ArguAna,0.37,0.23337228205649213,0.3521219576910119,0.24549857325529081
ArguAna,0.38,0.2335754927860187,0.35257479320214985,0.2455425006171063
ArguAna,0.39,0.23430535798956814,0.35262131083421716,0.24639257946077048
ArguAna,0.4,0.23435587843482544,0.3524766539037982,0.24670285638453152
ArguAna,0.41,0.2348639052586418,0.35305964270260815,0.2469538779628642
ArguAna,0.42,0.23477528280159823,0.3534327304312785,0.24670505878468868
ArguAna,0.43,0.23477584727584694,0.3532533855911155,0.246955381807648
ArguAna,0.44,0.23516279437332036,0.3540219052988335,0.24689742788694521
ArguAna,0.45,0.23540410711463308,0.35435517803008143,0.247068626934296
ArguAna,0.46,0.23509308180360783,0.35404893166515966,0.24692949376254272
ArguAna,0.47,0.23493841585946817,0.35388817195935374,0.24672201032922297
ArguAna,0.48,0.23504510149246957,0.3542047467466017,0.24688348192712292
ArguAna,0.49,0.234902853981801,0.35406144420710234,0.24673233107500633
ArguAna,0.5,0.23481677165887652,0.35370396086343736,0.24684797989117013
ArguAna,0.51,0.23499062972747145,0.3540025797607197,0.24673536137330443
